"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英語","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","設置位置","緯度","経度","高度の種別","高度の値","男性トイレ総数","男性トイレ数（小便器）","男性トイレ数（和式）","男性トイレ数（洋式）","女性トイレ総数","女性トイレ数（和式）","女性トイレ数（洋式）","男女共用トイレ総数","男女共用トイレ数（和式）","男女共用トイレ数（洋式）","バリアフリートイレ数","車椅子使用者用トイレ有無","乳幼児用設備設置トイレ有無","オストメイト設置トイレ有無","利用開始時間","利用終了時間","利用可能時間特記事項","画像","画像_ライセンス","備考"
"131067","131067C00041","台東区","富士","フジ","","131067","","東京都台東区浅草4-47-2","東京都","台東区","浅草4丁目","47-2","","","35.7185337","139.7975108","","","","","","","","","","","","1","","","有","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00042","台東区","田原","タワラ","","131067","","東京都台東区雷門1-5-15","東京都","台東区","雷門1丁目","5-15","","","35.70978727","139.7929875","","","","","","","","","","","","1","","","","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00043","台東区","一葉記念","イチヨウキネン","","131067","","東京都台東区竜泉3-19-1","東京都","台東区","竜泉3丁目","19-1","","","35.72563284","139.7925526","","","","2","","1","","","1","","","","","","有","","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00044","台東区","花川戸","ハナカワド","","131067","","東京都台東区花川戸2-5-6","東京都","台東区","花川戸2丁目","5-6","","","35.71414599","139.7992606","","","","3","","2","","","4","","","","1","有","有","有","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00045","台東区","鶯谷","ウグイスダニ","","131067","","東京都台東区根岸1-3-17","東京都","台東区","根岸1丁目","3-17","","","35.72114285","139.779395","","","","","","","","","","","","1","","","","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00046","台東区","竹町","タケチョウ","","131067","","東京都台東区台東4-21-3","東京都","台東区","台東4丁目","21-3","","","35.7056488","139.7805045","","","","3","","1","","","2","","","","","有","","","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00047","台東区","待乳山聖天","マツチヤマショウデン","","131067","","東京都台東区浅草7-4-9","東京都","台東区","浅草7丁目","4-9","","","35.71747474","139.8026853","","","","","","","","","","","","1","","","有","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00048","台東区","上根岸","カミネギシ","","131067","","東京都台東区根岸3-9-6","東京都","台東区","根岸3丁目","9-6","","","35.72331778","139.7788264","","","","2","","1","","","1","","","","","","","","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00049","台東区","入谷南","イリヤミナミ","","131067","","東京都台東区松が谷3-23-7","東京都","台東区","松が谷3丁目","23-7","","","35.71706299","139.7856486","","","","2","","1","","","2","","","","1","有","有","有","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00050","台東区","大正","タイショウ","","131067","","東京都台東区入谷2-23-11","東京都","台東区","入谷2丁目","23-11","","","35.72107817","139.7877646","","","","","","","","","","","","1","","有","有","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00051","台東区","今戸","イマド","","131067","","東京都台東区今戸2-24-1","東京都","台東区","今戸2丁目","24-1","","","35.72136292","139.8061946","","","","","","","","","","","","1","","","有","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00052","台東区","京町","キョウマチ","","131067","","東京都台東区千束3-26-18","東京都","台東区","千束3丁目","26-18","","","35.72206378","139.7945503","","","","","","","","","","","","1","","","有","","00:00","00:00","２４時間利用可能","","","男女共用"
