大分類,小分類,名称,所在地,電話番号,情報,X座標,Y座標
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)3東京国立博物館,,,,139.7761916,35.71708196
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)2上野駅入谷口,,,,139.7785316,35.71453793
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)23台東区役所,,,,139.7796546,35.71247445
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)1台東区役所,,,,139.7796846,35.71247445
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)38永寿総合病院東,,,,139.7802647,35.70969473
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)36小島社会教育館,,,,139.7815641,35.70377136
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)37新御徒町駅,,,,139.7818568,35.707387
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)35三筋二丁目（台東デザイナーズビレッジ）,,,,139.7848381,35.7061116
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)25北上野二丁目,,,,139.7851941,35.71525433
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)26松が谷,,,,139.7876239,35.7147744
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)34南部区民事務所,,,,139.7896262,35.7073678
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)27西浅草三丁目,,,,139.7914236,35.71403452
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)28つくばエクスプレス浅草駅,,,,139.7924936,35.71357457
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)33浅草消防署,,,,139.793674,35.70718521
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)29雷門通り,,,,139.7943336,35.71122482
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)32都営浅草駅,,,,139.7949338,35.70893505
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)31雷門前,,,,139.7963335,35.71055491
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)30浅草駅,,,,139.7982831,35.71156483
「東西めぐりん（鶯谷駅経由・日医大回りルート）」停留所,「東西めぐりん（鶯谷駅経由・日医大回りルート）」停留所,東西(鶯谷駅経由・日医大回りルート)3-1上野郵便局,,,,139.7805318,35.71895399
「東西めぐりん（鶯谷駅経由・日医大回りルート）」停留所,「東西めぐりん（鶯谷駅経由・日医大回りルート）」停留所,東西(鶯谷駅経由・日医大回りルート)4-1下谷二丁目(鶯谷駅南),,,,139.7811155,35.72075332
「東西めぐりん（鶯谷駅経由・日医大回りルート）」停留所,「東西めぐりん（鶯谷駅経由・日医大回りルート）」停留所,東西(鶯谷駅経由・日医大回りルート)5-1上野桜木,,,,139.7740634,35.72230868
「東西めぐりん（鶯谷駅経由・日医大回りルート）」停留所,「東西めぐりん（鶯谷駅経由・日医大回りルート）」停留所,東西(鶯谷駅経由・日医大回りルート)14-1日本医科大学付属病院下,,,,139.7623266,35.72097345
「東西めぐりん（鶯谷駅経由・日医大回りルート）」停留所,「東西めぐりん（鶯谷駅経由・日医大回りルート）」停留所,東西(鶯谷駅経由・日医大回りルート)15-1根津駅前,,,,139.7653779,35.71810966
「東西めぐりん（鶯谷駅経由・日医大回りルート）」停留所,「東西めぐりん（鶯谷駅経由・日医大回りルート）」停留所,東西(鶯谷駅経由・日医大回りルート)20上野動物園池之端門前,,,,139.7679182,35.71467832
「東西めぐりん（鶯谷駅経由・日医大回りルート）」停留所,「東西めぐりん（鶯谷駅経由・日医大回りルート）」停留所,東西(鶯谷駅経由・日医大回りルート)21水上音楽堂前,,,,139.770632,35.70948799
「東西めぐりん（鶯谷駅経由・日医大回りルート）」停留所,「東西めぐりん（鶯谷駅経由・日医大回りルート）」停留所,東西(鶯谷駅経由・日医大回りルート)24上野駅入谷口,,,,139.778549,35.71453957
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)20上野動物園池之端門前,,,,139.7678516,35.71465809
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)21水上音楽堂前,,,,139.7706372,35.70947296
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)24上野駅入谷口,,,,139.7785543,35.71452454
