全国地方公共団体コード,ID,地方公共団体名,名称,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,面積(㎡),備考
131130,131130_066,東京都渋谷区,参宮橋公園,渋谷区代々木4-4-2,東京都,渋谷区,代々木四丁目,4-2,,35.678936,139.6927122,,・4月～10月日曜日：7時～18時月曜日：7時～19時火曜日～土曜日：7時～20時・11月～3月8時～18時
131130,131130_067,東京都渋谷区,駒テラス西参道公園,渋谷区代々木4-17-1,東京都,渋谷区,代々木四丁目,17-1,,35.681057,139.6926829,,
131130,131130_068,東京都渋谷区,代々木第四公園,渋谷区代々木4-41-4,東京都,渋谷区,代々木四丁目,41-4,,35.6803206,139.6905248,,
131130,131130_069,東京都渋谷区,はるのおがわコミュニティパーク,渋谷区代々木5-68-1,東京都,渋谷区,代々木五丁目,68-1,,35.6722444,139.6910605,,
131130,131130_070,東京都渋谷区,本町一丁目児童遊園地,渋谷区本町1-26-6,東京都,渋谷区,本町一丁目,26-6,,35.6796564,139.6797905,,
131130,131130_071,東京都渋谷区,本町南児童遊園地,渋谷区本町1-56-6,東京都,渋谷区,本町一丁目,56-6,,35.6829146,139.6837902,,
131130,131130_072,東京都渋谷区,本村ずい道公園,渋谷区本町1-60-2,東京都,渋谷区,本町一丁目,60-2,,35.681173,139.6806888,,
131130,131130_073,東京都渋谷区,本町ずい道公園,渋谷区本町1-63-2,東京都,渋谷区,本町一丁目,63-2,,35.6803258,139.6784096,,
131130,131130_074,東京都渋谷区,初台一丁目児童遊園地,渋谷区初台1-5-1,東京都,渋谷区,初台一丁目,5-1,,35.6796864,139.6877681,,
131130,131130_075,東京都渋谷区,初台第二児童遊園地,渋谷区初台1-31-1,東京都,渋谷区,初台一丁目,31-1,,35.67915,139.6835768,,
131130,131130_076,東京都渋谷区,初台児童遊園地,渋谷区初台2-18-6,東京都,渋谷区,初台二丁目,18-6,,35.6774775,139.6856181,,
131130,131130_077,東京都渋谷区,初台二丁目児童遊園地,渋谷区初台2-29-8,東京都,渋谷区,初台二丁目,29-8,,35.676774,139.6874345,,
131130,131130_078,東京都渋谷区,本町さくら公園,渋谷区本町2-21-1,東京都,渋谷区,本町二丁目,21-1,,35.683654,139.6805339,,
131130,131130_079,東京都渋谷区,二軒家公園,渋谷区本町3-30-12,東京都,渋谷区,本町三丁目,30-12,,35.6903759,139.6828587,,
131130,131130_080,東京都渋谷区,二軒家ふるさと公園,渋谷区本町3-35-8,東京都,渋谷区,本町三丁目,35-8,,35.6893077,139.6809175,,
131130,131130_081,東京都渋谷区,本町ひがし公園,渋谷区本町3-45-7,東京都,渋谷区,本町三丁目,45-7,,35.687565,139.6816163,,
131130,131130_082,東京都渋谷区,本町公園,渋谷区本町4-5-7,東京都,渋谷区,本町四丁目,5-7,,35.6864053,139.681267,,
131130,131130_083,東京都渋谷区,本町東べんてん橋公園,渋谷区本町4-11-5,東京都,渋谷区,本町四丁目,11-5,,35.6873277,139.6807087,,
131130,131130_084,東京都渋谷区,本町四丁目ポケットパーク,渋谷区本町4-22-1,東京都,渋谷区,本町四丁目,22-1,,35.6871809,139.6785879,,
131130,131130_085,東京都渋谷区,本町北児童遊園地,渋谷区本町4-33-3,東京都,渋谷区,本町四丁目,33-3,,35.6855779,139.6802669,,
131130,131130_086,東京都渋谷区,本町南児童公園,渋谷区本町5-5-10,東京都,渋谷区,本町五丁目,5-10,,35.6839533,139.6782663,,
131130,131130_087,東京都渋谷区,本町氷川公園,渋谷区本町5-12-3,東京都,渋谷区,本町五丁目,12-3,,35.6844687,139.6771175,,
131130,131130_088,東京都渋谷区,幡ヶ谷駅前公園,渋谷区幡ヶ谷1-2-1,東京都,渋谷区,幡ケ谷一丁目,2-1,,35.676959,139.6776201,,
131130,131130_089,東京都渋谷区,幡ヶ谷第一公園,渋谷区幡ヶ谷1-11-2,東京都,渋谷区,幡ケ谷一丁目,11-2,,35.6747016,139.6719266,,
131130,131130_090,東京都渋谷区,幡ヶ谷児童遊園地,渋谷区幡ヶ谷2-1-22,東京都,渋谷区,幡ケ谷二丁目,1-22,,35.6786291,139.6790575,,
131130,131130_091,東京都渋谷区,幡ヶ谷第四児童遊園地,渋谷区幡ヶ谷2-6-2,東京都,渋谷区,幡ケ谷二丁目,6-2,,35.6782432,139.6782696,,
131130,131130_092,東京都渋谷区,幡ヶ谷二丁目児童遊園地,渋谷区幡ヶ谷2-39-8,東京都,渋谷区,幡ケ谷二丁目,39-8,,35.6782196,139.6728207,,
131130,131130_093,東京都渋谷区,幡ヶ谷ひだまり公園,渋谷区幡ヶ谷2-42-6,東京都,渋谷区,幡ケ谷二丁目,42-6,,35.6781023,139.6744627,,
131130,131130_094,東京都渋谷区,六号通り児童遊園地,渋谷区幡ヶ谷2-49-1,東京都,渋谷区,幡ケ谷二丁目,49-1,,35.6796175,139.6775855,,
131130,131130_095,東京都渋谷区,六号通り公園,渋谷区幡ヶ谷2-50-6,東京都,渋谷区,幡ケ谷二丁目,50-6,,35.680061,139.6777108,,
131130,131130_096,東京都渋谷区,七号通り公園,渋谷区幡ヶ谷2-53-5,東京都,渋谷区,幡ケ谷二丁目,53-5,,35.6789995,139.6747179,,
131130,131130_097,東京都渋谷区,六号坂上公園,渋谷区幡ヶ谷3-1-1,東京都,渋谷区,幡ケ谷三丁目,1-1,,35.6799609,139.676629,,
131130,131130_098,東京都渋谷区,幡ヶ谷第三公園,渋谷区幡ヶ谷3-36-8,東京都,渋谷区,幡ケ谷三丁目,36-8,,35.6780066,139.6710799,,
131130,131130_099,東京都渋谷区,幡ヶ谷第二公園,渋谷区幡ヶ谷3-38-2,東京都,渋谷区,幡ケ谷三丁目,38-2,,35.6792098,139.6715216,,
131130,131130_100,東京都渋谷区,幡ヶ谷新道公園,渋谷区幡ヶ谷3-56-10,東京都,渋谷区,幡ケ谷三丁目,56-10,,35.6817948,139.6746822,,
131130,131130_101,東京都渋谷区,笹塚一丁目児童遊園地,渋谷区笹塚1-27-3,東京都,渋谷区,笹塚一丁目,27-3,,35.6723921,139.6671198,,
131130,131130_102,東京都渋谷区,十三号通り公園,渋谷区笹塚2-32-8,東京都,渋谷区,笹塚二丁目,32-8,,35.6749299,139.6633881,,
